id,path,caption,__raw_response,__error,style,Gen_by,category_category,task
richard-gerstl_route-of-the-train-to-the-kahlenberg_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/richard-gerstl_route-of-the-train-to-the-kahlenberg_resize1024.jpg,"a winding country road through green fields with a tree in the foreground, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
georges-seurat_the-watering-can-1883_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/georges-seurat_the-watering-can-1883_resize1024.jpg,"a garden path with a watering can beside a stone wall and dense trees, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
marevna-(marie-vorobieff)_two-children-1942_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/marevna-(marie-vorobieff)_two-children-1942_resize1024.jpg,"two people sitting close together with arms around each other against a blue background, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
marevna-(marie-vorobieff)_maria-holding-a-bird_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/marevna-(marie-vorobieff)_maria-holding-a-bird_resize1024.jpg,"a blonde woman in a red dress against a pale background, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
georges-seurat_port-en-bessin-entrance-to-the-harbor-1888_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/georges-seurat_port-en-bessin-entrance-to-the-harbor-1888_resize1024.jpg,"a coastal harbor with sailboats and breakwaters on calm blue-green water, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
henri-edmond-cross_the-beach-evening_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/henri-edmond-cross_the-beach-evening_resize1024.jpg,"a lone tree on a rocky shoreline overlooking the sea and distant hills, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
arkhip-kuindzhi_winter-2_resize1024,Dataset/Intermediate/Impressionism/Gen_pointillism/NanoPro/arkhip-kuindzhi_winter-2_resize1024.jpg,"a snowy winter landscape with bare trees and a winding river under a cloudy sky, pointillism painting","{""category"":""landscape""}",,Pointillism,gemini-3-pro-image-preview,landscape,category_classify
henri-edmond-cross_provence-landscape-1_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/henri-edmond-cross_provence-landscape-1_resize1024.jpg,"a lakeside landscape with tall trees and distant hills under a bright sky, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
claude-monet_wooded-path-1865_resize1024,Dataset/Intermediate/Impressionism/Gen_pointillism/NanoPro/claude-monet_wooded-path-1865_resize1024.jpg,"a winding dirt path through a forest with autumn foliage under a cloudy sky, pointillism painting","{""category"":""landscape""}",,Pointillism,gemini-3-pro-image-preview,landscape,category_classify
arthur-segal_marseilles_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/arthur-segal_marseilles_resize1024.jpg,"a harbor with sailboats and masts reflected in calm water, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
theo-van-rysselberghe_rainbow-1892_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/theo-van-rysselberghe_rainbow-1892_resize1024.jpg,"a sandy coastal dune with a few small figures overlooking the sea under a cloudy sky, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
paul-signac_dutch-mill-at-edam_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/paul-signac_dutch-mill-at-edam_resize1024.jpg,"a large windmill beside a river with small houses and boats under a cloudy sky, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
georges-seurat_port-en-bessin-the-outer-harbor-low-tide-1888_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/georges-seurat_port-en-bessin-the-outer-harbor-low-tide-1888_resize1024.jpg,"a riverside village with boats on the water and clustered houses under a cloudy sky, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
camille-pissarro_setting-sun-and-fog-eragny-1891_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/camille-pissarro_setting-sun-and-fog-eragny-1891_resize1024.jpg,"a snowy field with a dark tree line under a glowing sunset sky, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
camille-pissarro_wallnut-and-apple-trees-in-bloom-at-eragny_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/camille-pissarro_wallnut-and-apple-trees-in-bloom-at-eragny_resize1024.jpg,"a large blossoming tree in a spring garden with green grass, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
georges-seurat_end-of-the-jetty-honfleur-1886_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/georges-seurat_end-of-the-jetty-honfleur-1886_resize1024.jpg,"a lighthouse on a breakwater with sailboats on a calm sea, pointillism painting","{""category"":""architecture""}",,Pointillism,WikiArt,architecture,category_classify
henri-edmond-cross_the-return-of-the-fisherman-1896_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/henri-edmond-cross_the-return-of-the-fisherman-1896_resize1024.jpg,"a rocky seaside cliff with a lone figure walking at sunset, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
henri-edmond-cross_bathers_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/henri-edmond-cross_bathers_resize1024.jpg,"two figures standing on a rocky beach by the sea under a cloudy sky, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
claude-monet_fisherman-s-cottage-at-varengeville_resize1024,Dataset/Intermediate/Impressionism/Gen_pointillism/Gpt/claude-monet_fisherman-s-cottage-at-varengeville_resize1024.jpg,"a small cottage with a red roof on a grassy seaside cliff overlooking sailboats, pointillism painting","{""category"":""architecture""}",,Pointillism,gpt-image-1,architecture,category_classify
paul-signac_comblat-and-the-valley-of-the-cere_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/paul-signac_comblat-and-the-valley-of-the-cere_resize1024.jpg,"a countryside village with a tall manor house beside a sunlit field and wooded hills, pointillism painting","{""category"":""architecture""}",,Pointillism,WikiArt,architecture,category_classify
paul-signac_river-s-edge-the-siene-at-herblay-1889_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/paul-signac_river-s-edge-the-siene-at-herblay-1889_resize1024.jpg,"a calm river through a town with tree-lined banks and distant buildings, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
theo-van-rysselberghe_the-man-at-the-tiller-1892_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/theo-van-rysselberghe_the-man-at-the-tiller-1892_resize1024.jpg,"a sailor in a hooded coat on a small sailboat amid rough ocean waves, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
camille-pissarro_peasants-in-the-field-eragny-1890_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/camille-pissarro_peasants-in-the-field-eragny-1890_resize1024.jpg,"two farmers working in a sunlit field with distant wagons and a village on the horizon, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
henri-edmond-cross_the-wreck_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/henri-edmond-cross_the-wreck_resize1024.jpg,"a worker walking beside a beached shipwreck on a rocky shoreline with hills in the distance, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
marevna-(marie-vorobieff)_dance_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/marevna-(marie-vorobieff)_dance_resize1024.jpg,"three nude women holding hands in a grassy lakeside clearing with trees, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
henri-martin_view-from-the-artist-s-studio-1902_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/henri-martin_view-from-the-artist-s-studio-1902_resize1024.jpg,"a hillside landscape with cypress trees and a house overlooking the sea, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
henri-edmond-cross_the-pink-house-1905_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/henri-edmond-cross_the-pink-house-1905_resize1024.jpg,"a sunlit hillside village with tiled rooftops and tall trees, pointillism painting","{""category"":""architecture""}",,Pointillism,WikiArt,architecture,category_classify
theo-van-rysselberghe_margery-1899_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/theo-van-rysselberghe_margery-1899_resize1024.jpg,"a seated woman in a green dress with a white blouse against a dotted green background, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
pierre-auguste-renoir_landscape-near-cagnes-1910_resize1024,Dataset/Intermediate/Impressionism/Gen_pointillism/NanoPro/pierre-auguste-renoir_landscape-near-cagnes-1910_resize1024.jpg,"a winding dirt path through a dense forest with large oak trees, pointillism painting","{""category"":""landscape""}",,Pointillism,gemini-3-pro-image-preview,landscape,category_classify
gustave-caillebotte_square-in-paris-snowy-weather_resize1024,Dataset/Intermediate/Impressionism/Gen_pointillism/NanoPro/gustave-caillebotte_square-in-paris-snowy-weather_resize1024.jpg,"a snowy city park with bare trees, walking people, and tall brick buildings in the background, pointillism painting","{""category"":""landscape""}",,Pointillism,gemini-3-pro-image-preview,landscape,category_classify
marevna-(marie-vorobieff)_portrait-of-young-woman_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/marevna-(marie-vorobieff)_portrait-of-young-woman_resize1024.jpg,"a woman resting her head on her hand in a blue dress with a red scarf, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
richard-gerstl_self-portrait-2-1907_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/richard-gerstl_self-portrait-2-1907_resize1024.jpg,"an abstract black stippled shape on a white background, pointillism painting","{""category"":""still_life""}",,Pointillism,WikiArt,still_life,category_classify
georges-lemmen_self-portrait-1890_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/georges-lemmen_self-portrait-1890_resize1024.jpg,"a portrait of a woman in a white dress against a purple patterned background, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
theo-van-rysselberghe_elisaeth-van-rysselberghe-in-a-straw-hat-1901_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/theo-van-rysselberghe_elisaeth-van-rysselberghe-in-a-straw-hat-1901_resize1024.jpg,"a woman in a wide straw hat and pale dress leaning on a railing by the seaside, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
umberto-boccioni_plastic-dynamism-horse-house-1914_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/umberto-boccioni_plastic-dynamism-horse-house-1914_resize1024.jpg,"an abstract scene of overlapping angular rock-like forms in warm earth tones, pointillism painting","{""category"":""still_life""}",,Pointillism,WikiArt,still_life,category_classify
henri-edmond-cross_view-of-menton-1902_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/henri-edmond-cross_view-of-menton-1902_resize1024.jpg,"a coastal hillside with colorful trees overlooking a harbor town and a small sailboat, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
marsden-hartley_storm-clouds-maine-1906_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/marsden-hartley_storm-clouds-maine-1906_resize1024.jpg,"a rolling hillside landscape under large storm clouds, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
georges-seurat_chahut-1890_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/georges-seurat_chahut-1890_resize1024.jpg,"a lively cabaret scene with dancers performing the can-can and musicians in the foreground, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
henri-edmond-cross_landscape-with-goats-1895_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/henri-edmond-cross_landscape-with-goats-1895_resize1024.jpg,"a herd of cattle resting under a large tree in a sunlit pasture, pointillism painting","{""category"":""animal""}",,Pointillism,WikiArt,animal,category_classify
henri-martin_banks-of-the-garonne_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/henri-martin_banks-of-the-garonne_resize1024.jpg,"a group of people in hats standing by a riverside promenade with boats and city buildings across the water, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
paul-signac_view-of-the-port-of-marseilles_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/paul-signac_view-of-the-port-of-marseilles_resize1024.jpg,"a harbor with sailboats and tall masts on shimmering water near a coastal town, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
giacomo-balla_girl-running-on-a-balcony-1912_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/giacomo-balla_girl-running-on-a-balcony-1912_resize1024.jpg,"a vineyard with rows of grapevines and tall trees in the background, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
georges-seurat_edge-of-wood-springtime-1883_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/georges-seurat_edge-of-wood-springtime-1883_resize1024.jpg,"a sunlit meadow with a large tree and distant shrubs, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
paul-signac_the-bay-1906_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/paul-signac_the-bay-1906_resize1024.jpg,"a coastal cliff with pine trees and sailboats on calm water, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
henri-catargi_dobrudjan-landscape-balcic_resize1024,Dataset/Intermediate/Impressionism/Gen_pointillism/NanoPro/henri-catargi_dobrudjan-landscape-balcic_resize1024.jpg,"a woman in a straw hat reading at an outdoor table under a large tree beside a stone house, pointillism painting","{""category"":""portrait""}",,Pointillism,gemini-3-pro-image-preview,portrait,category_classify
kazimir-malevich_landscape-1908_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/kazimir-malevich_landscape-1908_resize1024.jpg,"an abstract field of dense multicolored dots and vertical streaks, pointillism painting","{""category"":""still_life""}",,Pointillism,WikiArt,still_life,category_classify
georges-vantongerloo_a-seated-lady_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/georges-vantongerloo_a-seated-lady_resize1024.jpg,"a rocky mountain landscape with dark cliffs and mist, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
paul-signac_the-port-of-la-rochelle-1915_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/paul-signac_the-port-of-la-rochelle-1915_resize1024.jpg,"a harbor with colorful sailboats and distant buildings reflected in calm water, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
theo-van-rysselberghe_madame-von-bodenhausen-with-her-daughter-luli-1910_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/theo-van-rysselberghe_madame-von-bodenhausen-with-her-daughter-luli-1910_resize1024.jpg,"a woman in a blue dress standing beside a young girl in an interior with a mirror and a vase of flowers, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
paul-signac_fort-saint-jean-marseilles-1907_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/paul-signac_fort-saint-jean-marseilles-1907_resize1024.jpg,"a sailboat with a large blue sail on calm water near other boats, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
camille-pissarro_apple-picking-at-eragny-sur-epte-1888_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/camille-pissarro_apple-picking-at-eragny-sur-epte-1888_resize1024.jpg,"farm workers harvesting fruit under a large tree in a sunlit orchard, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
theo-van-rysselberghe_canal-in-flanders-1894-1_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/theo-van-rysselberghe_canal-in-flanders-1894-1_resize1024.jpg,"a tree-lined canal running through green fields under a cloudy sky, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
theo-van-rysselberghe_sailboats-on-the-river-scheldt-1892_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/theo-van-rysselberghe_sailboats-on-the-river-scheldt-1892_resize1024.jpg,"a sailboat on a calm lake at sunset with wooden posts in the water, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
henri-martin_valley-in-labastide-du-vert_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/henri-martin_valley-in-labastide-du-vert_resize1024.jpg,"a winding river through rolling autumn hills with tall poplar trees, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
theo-van-rysselberghe_east-wind-1904_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/theo-van-rysselberghe_east-wind-1904_resize1024.jpg,"a rocky seashore with crashing waves and a windswept tree under a cloudy sky, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
georges-seurat_model-in-profile-1886_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/georges-seurat_model-in-profile-1886_resize1024.jpg,"a nude woman with short dark hair sitting and hugging her knees against a pale background, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
camille-pissarro_paysanne-couchant-1882_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/camille-pissarro_paysanne-couchant-1882_resize1024.jpg,"a woman in a blue dress and red bonnet holding a hoe in a sunlit garden, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
georges-lemmen_portrait-of-the-artist-s-sister-1891_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/georges-lemmen_portrait-of-the-artist-s-sister-1891_resize1024.jpg,"a seated woman in a dark dress with folded arms against a patterned background, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
georges-seurat_study-for-the-channel-at-gravelines-evening-1890_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/georges-seurat_study-for-the-channel-at-gravelines-evening-1890_resize1024.jpg,"a hazy harbor scene with a sailboat and distant shoreline across calm water, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
paul-signac_port-of-saint-tropez_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/paul-signac_port-of-saint-tropez_resize1024.jpg,"a harbor with colorful sailboats on choppy water and a coastal town in the background, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
henri-martin_the-pergola_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/henri-martin_the-pergola_resize1024.jpg,"a garden pergola draped with red vines and a table with a white vase, pointillism painting","{""category"":""architecture""}",,Pointillism,WikiArt,architecture,category_classify
theo-van-rysselberghe_three-children-in-blue-1901_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/theo-van-rysselberghe_three-children-in-blue-1901_resize1024.jpg,"three girls in light blue dresses sitting on a cushioned bench indoors, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
marevna-(marie-vorobieff)_still-life-of-fish_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/marevna-(marie-vorobieff)_still-life-of-fish_resize1024.jpg,"a still life of fresh fish with lemon slices and green herbs on paper, pointillism painting","{""category"":""still_life""}",,Pointillism,WikiArt,still_life,category_classify
theo-van-rysselberghe_the-door-of-monsour-hay-in-meknes-morocco-1887_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/theo-van-rysselberghe_the-door-of-monsour-hay-in-meknes-morocco-1887_resize1024.jpg,"a sunlit view of an ancient stone gate and city walls above a rocky path, pointillism painting","{""category"":""architecture""}",,Pointillism,WikiArt,architecture,category_classify
theo-van-rysselberghe_portrait-of-madame-van-rysselberghe-1891_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/theo-van-rysselberghe_portrait-of-madame-van-rysselberghe-1891_resize1024.jpg,"a woman in a long orange dress standing in an interior room beside a table of flowers, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
paul-signac_venice-the-pink-cloud-1909(1)_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/paul-signac_venice-the-pink-cloud-1909(1)_resize1024.jpg,"a harbor with sailboats on calm water and a distant town skyline, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
jean-metzinger_femme-au-chapeau-1906_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/jean-metzinger_femme-au-chapeau-1906_resize1024.jpg,"a woman wearing a wide-brimmed striped hat against a colorful floral background, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
umberto-boccioni_self-portrait-1905-1_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/umberto-boccioni_self-portrait-1905-1_resize1024.jpg,"a seated woman in a dark dress holding a folding fan in an interior room with patterned wallpaper, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
henri-edmond-cross_afternoon-at-pardigon-var-1907_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/henri-edmond-cross_afternoon-at-pardigon-var-1907_resize1024.jpg,"a coastal landscape with tall pine trees overlooking the sea and distant hills, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
